instrument,date,noncomm_net_pct_oi
AUDUSD,2022-11-22,-0.1756809326114267
AUDUSD,2022-11-29,-0.2030330409466802
AUDUSD,2022-12-06,-0.2203395168656105
AUDUSD,2022-12-13,-0.1667276178534733
AUDUSD,2022-12-20,-0.0408955870520517
AUDUSD,2022-12-27,-0.0778900112233445
AUDUSD,2023-01-03,-0.063680806257521
AUDUSD,2023-01-10,-0.074903989589615
AUDUSD,2023-01-17,-0.0973146248820322
AUDUSD,2023-01-24,-0.109467912580122
AUDUSD,2023-01-31,-0.1487703955863364
AUDUSD,2023-02-07,-0.0987532861313162
AUDUSD,2023-02-14,-0.0823673164964731
AUDUSD,2023-02-21,0.009987363919129
AUDUSD,2023-02-28,0.0660083201111453
AUDUSD,2023-03-07,0.0850306981454522
AUDUSD,2023-03-14,0.0472217409268416
AUDUSD,2023-03-21,0.0414262757185384
AUDUSD,2023-03-28,0.0291461140718602
AUDUSD,2023-04-04,0.0354795625553748
AUDUSD,2023-04-11,-0.0125187373385766
AUDUSD,2023-04-18,-0.0255967140030555
AUDUSD,2023-04-25,0.019283160939152
AUDUSD,2023-05-02,0.0482869739390494
AUDUSD,2023-05-09,-0.0367723461324698
AUDUSD,2023-05-16,-0.0126571668063704
AUDUSD,2023-05-23,0.0283893459458859
AUDUSD,2023-05-30,0.0706712918917072
AUDUSD,2023-06-06,0.0464565051507058
AUDUSD,2023-06-13,-0.0693901249986306
AUDUSD,2023-06-20,-0.073590041228035
AUDUSD,2023-06-27,0.002875270473466
AUDUSD,2023-07-03,0.0643537308773025
AUDUSD,2023-07-11,0.025679530476409
AUDUSD,2023-07-18,-0.0552048562506729
AUDUSD,2023-07-25,-0.0502516681122501
AUDUSD,2023-08-01,0.0052883482746221
AUDUSD,2023-08-08,0.1057634460353748
AUDUSD,2023-08-15,0.0944790617143863
AUDUSD,2023-08-22,0.0837126302570994
AUDUSD,2023-08-29,0.0540205558215393
AUDUSD,2023-09-05,0.0065381155136172
AUDUSD,2023-09-12,0.0130474320795881
